Date,Activity,Route number,Name,Elapsed seconds,Distance (km),Pace,Weight,Steps,Notes
2020-02-29,,242812,Greenlake out-and-back 5k,1435,4.90,4.88,,,"50F, 3:00pm  lo-caff?"
2020-02-27,,,,300,,,156,,quick run to weights@YMCA
2020-02-26,,143114,Reservoir Basic,973,3.40,4.77,,,"51F, 4:15pm"
2020-02-24,,,,1320,,,157,,15+7treadmill + weights@YMCA
2020-02-21,,759536,Latona Loop corrected ,1051,3.56,4.92,157,,"55F, consolidation + weights@YMCA"
2020-02-19,,,,1330,,,157,,22_10treadmill +weights@YMCA
2020-02-16,Cross Country,,,10800,,,,,Crystal Springs
2020-02-15,,759536,Latona Loop corrected ,1061,3.56,4.97,157,,+weights@YMCA
2020-02-12,,,,1636,,,156,,17+10treadmill +weights@YMCA
2020-02-10,,,,1210,,,,,
2020-02-08,,,,1326,,,157,,10+12treadmill + weights@YMCA
2020-02-02,,,,1496,,,,,"12.5+12.5,  Mission Bay, San Diego"
2020-01-30,,,,1257,,,156,,8.5+12.5@3% + weights@YMCA
2020-01-27,,,,1257,,,,,"8.5+12.5@3% + weights@YMCA
"
2020-01-25,,,,1382,,,157,,8.5+13.5treadmill + weights@YMCA
2020-01-22,,,,1200,,,,,8+12treadmill +weights@YMCA
2020-01-20,,,,1275,,,,,9+12treadmill +weights@YMCA
2020-01-19,Cross Country,,,7200,,,156,,Lake Easton St. Pk. Good snow.
2020-01-17,,,,1339,,,155,,8.5+14 treadmill +weights@YMCA
2020-01-15,,,,1302,,,158,,8+13treadmill+weights@YMCA
2020-01-12,,,,1224,,,,,"8+12treadmill + weights@YMCA
"
2020-01-10,,,,1218,,,,,7+13treadmill + weights@YMCA
2020-01-08,,759536,Latona Loop corrected ,1046,3.56,4.90,157,,"40F, dry, 4:30PM, + weights@YMCA"
2020-01-05,Cross Country Skiing,,,7200,,,,,"Hyak, new skiis, great snow"
2020-01-03,,,,1260,,,157,,10+11 treadmill+weights@YMCA (BV)
2019-12-30,,653902,45th to 65th loop,878,3.08,4.75,159,,"4:00PM, 47F, cloudy, +weights@YMCA"
2019-12-28,,143116,Greenlake 3k,1083,3.90,4.63,159,,"Back from Mexico! 2:00PM, Hot start - 3:39 to 65th. 47F, cloudy, dry + weights@YMCA"
2019-12-17,,143114,Reservoir Basic,970,3.40,4.75,,,"3:30pm 47F, +weights@YMCA, grrr. 6:46 to sign (too fast?)"
2019-12-15,,,,1260,,,,,10+10treadmill + weights@YMCA
2019-12-13,,143114,Reservoir Basic,969,3.40,4.75,157,,"46F, ptly cldy, +weights@YMCA"
2019-12-10,,,,1260,,,,,10+11treadmill + weights@YMCA
2019-12-08,,759536,Latona Loop corrected ,1040,3.56,4.87,158,,"49F, dry, 3:30PM + weights@YMCA"
2019-12-07,,,,1219,,,156,,10+10 treadmill + weights@YMCA
2019-12-03,,,,1140,,,158,,10+9 min treadmill + weights@YMCA
2019-12-01,,,,1200,,,,,10+10 min treadmill + weights@YMCA (w/ Alec)
2019-11-29,,143114,Reservoir Basic,995,3.40,4.88,160,,"39F, sunny, turkey in tummy?, + weights@YMCA w/Alec"
2019-11-27,,759536,Latona Loop corrected ,1029,3.56,4.82,,,"45F, sunny, + weights@YMCA"
2019-11-25,,,,720,,,157,,12min Treadmill + light weights@YMCA
2019-11-23,,143116,Greenlake 3k,1086,3.90,4.64,157,,"44F, cloudy + weights@YMCA"
2019-11-21,,759536,Latona Loop corrected ,1014,3.56,4.75,157,,"45F, sunny"
2019-11-18,,,,1260,,,,,10+10 min treadmill + weights@YMCA
2019-11-16,,143114,Reservoir Basic,956,3.40,4.68,159,,"50F, cloudy, 6:50 to sign, 10:30AM + weights@YMCA"
2019-11-13,,143114,Reservoir Basic,987,3.40,4.84,159,,"50F, Sunny, 4:30PM, (listening to NPR!)+weights@YMCA"
2019-11-11,,562270,no lights local loop,1052,3.61,4.86,,,"48F, 7:02 to turn, good caff.  +weights@YMCA"
2019-11-08,,653902,45th to 65th loop,843,3.08,4.56,,,"55F, clear, +weights@YMCA"
2019-11-02,,759536,Latona Loop corrected ,1019,3.56,4.77,,,"38F, Sunny, crisp. +weights@YMCA"
2019-10-30,,,,1200,,,,,Alanta. Treadmill 2x10m + weights
2019-10-28,,,,1087,,,,,"Atlanta, 75F, nice out.n+weights@hotelgym"
2019-10-25,,143116,Greenlake 3k,1075,3.90,4.59,159,,"51F, sunny, +weights@YMCA"
2019-10-21,,143114,Reservoir Basic,941,3.40,4.61,158,,"54F, 4:30PM, light rain. +weights@YMCA"
2019-10-19,,759536,Latona Loop corrected ,1039,3.56,4.86,158,,"44F, (w/ wrong turn) 8:30am, wet, +weights@YMCA
"
2019-10-15,,653902,45th to 65th loop,849,3.08,4.59,159,,"65F, 2 lights, +weights@YMCA"
2019-10-13,,566398,Dawg Dash Oct16,1495,5.21,4.78,159,,"50F, cloudy, felt good. didn't win :("
2019-10-11,,143116,Greenlake 3k,1115,3.90,4.76,159,,"65F, sunny, 4:20PM, consolidation for Dash"
2019-10-08,,759536,Latona Loop corrected ,1029,3.56,4.82,159,,"48F, cloudy, +weights@YMCA
"
2019-10-05,,143117,Greenlake 5k,1400,5.01,4.66,159,,"PR, 55F, cloudy, (SE) + weights@YMCA"
2019-09-30,,759536,Latona Loop corrected ,1033,3.56,4.84,,,"56F, sunny, 4:45PM, grrr."
2019-09-28,,143114,Reservoir Basic,959,3.40,4.70,159,,"9AM, low caf. 45F, damp. + weights@YMCA"
2019-09-26,,562270,no lights local loop,1046,3.61,4.84,,,"9AM, + weights@YMCA, GIX!!
"
2019-09-22,,759536,Latona Loop corrected ,1029,3.56,4.82,,,"9:10, 60F, cloudy, + weights@YMCA"
2019-09-19,,562270,no lights local loop,1027,3.61,4.75,160,,"9:10AM, 65F, cloudy, (SE), good caf. +weights@YMCA"
2019-09-16,,143116,Greenlake 3k,1104,3.90,4.72,161,,"4:30pm, 65f, +weights@YMCA"
2019-09-14,,,,1123,,,161,,home->Suzallo->Comotion->home
2019-09-12,,562270,no lights local loop,1037,3.61,4.79,158,,"3:45PM, 75F, + weights@YMCA"
2019-09-08,,653902,45th to 65th loop,878,3.08,4.75,160,,"60F, 1:00PM, + weights @ YMCA
"
2019-09-06,,759536,Latona Loop corrected ,1044,3.56,4.89,,,"80F, 4:00PM + weights @ YMCA"
2019-09-04,,,,1674,,,159,,to UWECE and back. + weights @ YMCA
2019-09-01,,143116,Greenlake 3k,1142,3.90,4.88,,,"Back from injry.  70F, 8AM.  Took it eeeeasy."
2019-08-24,,759536,Latona Loop corrected ,,3.56,,156,,Fell/fall. mind was wandering after the big hill climb. abrasion/contusions.
2019-08-21,,143114,Reservoir Basic,948,3.40,4.64,155,,"70F, damp, (SE) but lost focus a bit. + weights @YMCA"
2019-08-17,,143116,Greenlake 3k,1090,3.90,4.66,,,Good caf. (SE) back after break. + weights @ Y
2019-08-10,,,,1163,,,,,Brule: Hwy 27 Loop
2019-08-08,,,,1138,,,,,Brule: club-Hw27 loop
2019-08-06,,,,1150,,,,,"Brule: club-Hw27 loop
"
2019-08-02,,143114,Reservoir Basic,942,3.40,4.62,156,,"8:20AM, 66F, 6:42 to sign, 8:27 to top. good caf. sunny."
2019-07-29,,143114,Reservoir Basic,950,3.40,4.65,156,,"5:15PM, 82F, drowsy start.  "
2019-07-27,,759536,Latona Loop corrected ,1022,3.56,4.79,156,,"1:00pm, 65, cloudy + weights @ YMCA
"
2019-07-25,,759536,Latona Loop corrected ,1044,3.56,4.89,156,,"5:30, 82F, sunny, + Weights @ YMCA"
2019-07-23,,653902,45th to 65th loop,869,3.08,4.70,157,,"5:00pm blah, no-mo, full of BBQ!  + weights @ YMCA"
2019-07-21,,562270,no lights local loop,1055,3.61,4.88,156,,"8:30AM, 70F, (SE) still slight head-cold.  + weights @ YMCA"
2019-07-18,,143114,Reservoir Basic,981,3.40,4.81,155,,"5PM, 66F, (SE) + weights @ Y"
2019-07-13,,143116,Greenlake 3k,1057,3.90,4.52,155,,"8AM, 65F, cloudy, (SE)"
2019-07-06,,,,1110,,,156,,"Treadmill @ Holiday Inn, Chennai + 10kg free weight. Muggy inside"
2019-07-01,,,,1080,,,156,,"Treadmill @ Holiday Inn Chennai, + weights(!)"
2019-06-29,,562270,no lights local loop,1044,3.61,4.83,159,,"62F, sunny, 7:30AM, (SE) strong start. + weights @YMCA (pre-Chennai Trip)
"
2019-06-26,,759536,Latona Loop corrected ,1076,3.56,5.04,159,,"64F, 4:00pm, low caff, low effort + weights @ YMCA"
2019-06-24,,,,1073,,,,,"65F, 1:30PM, route up latona, + weights @YMCA"
2019-06-21,,,,1222,,,,,Run at Popis / La Costa Glen / 60F
2019-06-17,,143116,Greenlake 3k,1098,3.90,4.69,157,,"76F, consolidation/(SE), sunny, 4:00PM"
2019-06-15,,143114,Reservoir Basic,944,3.40,4.63,158,,"8L00AM, 56F, (SE) cloudy, 6:46 to sign."
2019-06-13,,143116,Greenlake 3k,1093,3.90,4.67,158,,"80F, consolidation, New shoes, New Phone belt - Music! + Weights @ YMCA"
2019-06-09,,562270,no lights local loop,1046,3.61,4.84,159,,"58F, (SE), 7:02 to turn.  8:00AM + weights @ YMCA"
2019-06-07,,653902,45th to 65th loop,872,3.08,4.72,160,,"4:00, 57F, cldy
"
2019-06-04,,242812,Greenlake out-and-back 5k,1374,4.90,4.67,160,,"PR! 4:00PM, 72F, Sunny + Weight "
2019-06-02,,,,1451,,,,,"Walla Wall bike trail & Whitman.   80F, 7:30AM."
2019-05-28,,143116,Greenlake 3k,1089,3.90,4.65,,,65 (SE) + weights @ YMCA
2019-05-26,,143114,Reservoir Basic,943,3.40,4.62,158,,"53F, 9:00AM, cloudy (SE) + weights @ YMCA"
2019-05-24,,143114,Reservoir Basic,949,3.40,4.65,159,,"58F, 5:00PM, (SE)"
2019-05-21,,143114,Reservoir Basic,965,3.40,4.73,158,,"52F, cloudy 5:00pm"
2019-05-19,,653902,45th to 65th loop,891,3.08,4.82,157,,"Basic. + weights @ YMCA, 58F, 7:30AM"
2019-05-16,,,,1200,4.20,4.76,157,,"rain.  2x10min treadmill + weights @ YMCA (approx distance)
"
2019-05-14,,562270,no lights local loop,1042,3.61,4.82,,,"65F, (SE) plus weights @ YMCA"
2019-05-11,,242812,Greenlake out-and-back 5k,1382,4.90,4.70,,,"
68F, sunny, 7:30AM"
2019-05-07,,143114,Reservoir Basic,951,3.40,4.66,161,,"73F, (SE) 4:20PM"
2019-05-05,,,,1040,,,,,"La Cost Glen, Encinitas. "
2019-05-02,,143116,Greenlake 3k,1076,3.90,4.60,159,,"60F, 4:30PM, 3:42 to 65th"
2019-04-29,,562270,no lights local loop,1025,3.61,4.74,160,,"64F, 4:30PM, (SE)"
2019-04-27,,143116,Greenlake 3k,1083,3.90,4.63,161,,"1:30pm, 48F, (SE)"
2019-04-25,,143114,Reservoir Basic,967,3.40,4.74,161,,4:15pm.   59F.  (SE)  7:00 to sign.
2019-04-23,,143114,Reservoir Basic,987,3.40,4.84,162,,"4:30PM, 56F, tried hard, 7:10 to sign."
2019-04-21,,,,1516,5.40,4.68,,,Loop in Palo Alto
2019-04-18,,653902,45th to 65th loop,862,3.08,4.66,160,,"4:30PM, 65F, cloudy + Weights @ YMCA"
2019-04-15,,562270,no lights local loop,1023,3.61,4.73,159,,"4:45pm 55F,  6:48 to turn"
2019-04-11,,,,1320,,,159,,Treadmill 12+10 and Weights @YMCA
2019-04-09,,143116,Greenlake 3k,1082,3.90,4.62,161,,"56F, (SE) 4:20PM + weights @ Y"
2019-04-07,,653902,45th to 65th loop,869,3.08,4.70,160,,"51F. 12:00PM, cloudy. good V.O2"
2019-04-05,,143116,Greenlake 3k,1121,3.90,4.79,,,"50F, 4:45PM, stormy recent rain + weights @ Y"
2019-04-02,,143114,Reservoir Basic,960,3.40,4.70,,,"46F, ptlycldy, ""Sustained Effort"" (SE) strategy"
2019-03-30,,143114,Reservoir Basic,967,3.40,4.74,159,,"50F, sunny, felt tough"
2019-03-26,,242812,Greenlake out-and-back 5k,1429,4.90,4.86,,,"4:40PM, 60F, modest effort"
2019-03-24,,562270,no lights local loop,1069,3.61,4.94,,,"50F, 6:59 to turn + weights @ Y"
2019-03-22,,,,1320,,,,,Treadmill 2x11min + weights at Y
2019-03-20,,653902,45th to 65th loop,870,3.08,4.70,,,"5:15pm, 75F(!), sunny"
2019-03-18,,143116,Greenlake 3k,1100,3.90,4.70,,,"4:30PM, 71F(!), sunny "
2019-03-16,,143118,Reservoir 5k,1452,4.98,4.86,161,,"Tough start, (low caff?). 40F cloudy."
2019-03-12,,,,1242,,,,,"YMCA, treadmill 10minx2 + weights."
2019-03-09,,242812,Greenlake out-and-back 5k,1426,4.90,4.85,158,,"33F, sunny"
2019-03-06,,,,1320,,,,,"YMCA; 2x10 on treadmill + weights
"
2019-03-02,,143114,Reservoir Basic,978,3.40,4.79,158,,"34F, sunny, good effort, 3:52 to sign, but burned out after sign. "
2019-02-26,,143116,Greenlake 3k,1112,3.90,4.75,158,,"4:30pm, 42F, good effort"
2019-02-23,,143114,Reservoir Basic,979,3.40,4.80,,,"42F, Felt pretty good.  + weights at Y"
2019-02-17,,,,1128,,,,,Ramona CA!
2019-02-15,,,,1208,,,,,"Encinitas / PCH
"
2019-02-02,,143114,Reservoir Basic,1000,3.40,4.90,158,,"47F, cloudy, low caf? slow start."
2019-01-31,,653902,45th to 65th loop,881,3.08,4.76,158,,50F. ptly cldy
2019-01-28,,143114,Reservoir Basic,964,3.40,4.72,159,,"50F, sunny, 4:15pm, then upper body workout at Y"
2019-01-26,,143116,Greenlake 3k,1093,3.90,4.67,,,"40F, sunny, legs sore & stiff due to weights at Y."
2019-01-24,,,,360,,,,,6 min to YMCA - leg work with Cyle.
2019-01-22,,,,1028,,,159,,8 + 9 Min on YMCA treadmill + weights. 
2019-01-19,,562270,no lights local loop,1049,3.61,4.85,157,,"44F, lo caf, lo mo, did OK."
2019-01-16,,143116,Greenlake 3k,1088,3.90,4.65,,,"48F. 4:20pm, started lo mo. good effort. 3:47 to 65th,\."
2019-01-14,,,,,,,,,"Workout at YMCA w/Cyle + treadmill
"
2019-01-12,,143114,Reservoir Basic,968,3.40,4.74,,,"40F, sunny"
2019-01-12,,,,,,,,,Brieft weights at Y.
2019-01-10,,,,1080,,,,,Treadmill at YMCA
2019-01-06,,,,1232,,,158,,"20th to 75th, 9:00AM, 42F, cloudy"
2019-01-04,,,,,,,,,Weights at the Y w/ Cyle
2018-12-31,,653902,45th to 65th loop,919,3.08,4.97,160,,"37F, 4:15pm, clear, small leg stiffness
"
2018-12-29,,143114,Reservoir Basic,1023,3.40,5.01,,,"50F, sore legs from skiing!"
2018-12-25,,,,1507,,,155,,"43F, intervals. meeting up with Cyn and Sophia / Greenlake"
2018-12-22,,143116,Greenlake 3k,1087,3.90,4.64,,,"42F, lo mo."
2018-12-20,,653902,45th to 65th loop,887,3.08,4.80,159,,"41F, light rain. back after a while. "
2018-12-15,,,,1008,,,,,"60F, California, Dana Point Park to beach."
2018-12-13,,143114,Reservoir Basic,983,3.40,4.82,,,45F. Consolidation good effort.
2018-12-10,,143114,Reservoir Basic,984,3.40,4.82,160,,"48F, sluggish. cloudy. briefly stopped to catch breath before sign!  6:55 to sign."
2018-12-04,,143116,Greenlake 3k,1090,3.90,4.66,,,"39F, sunny, 4:00pm"
2018-12-01,,234220,Upper Reservoir Park,1267,4.62,4.57,159,,"44F, cloudy, lots of stops. 
 2:00PM  PR!
"
2018-11-29,,,,1237,,,,,"51F, >70th>PCC>GL>65th>home - after a Beer!"
2018-11-27,,143114,Reservoir Basic,949,3.40,4.65,158,,"56F, wet, 4:00PM, felt strong, 6:39 to sign
"
2018-11-24,,143116,Greenlake 3k,1099,3.90,4.70,158,,"43F. 9:00AM, sunny, lo-mo, lo-caf. full of turkey!"
2018-11-21,,,,623,,,160,,46F. Ran in to work at EE bldg.
2018-11-21,,,,680,,,,,"55F, from work to CPG.  11:30am, light rain"
2018-11-18,,143114,Reservoir Basic,952,3.40,4.66,157,,"50F, sunny, noon.  Felt really tough.  6:45 to sign."
2018-11-16,,562270,no lights local loop,1042,3.61,4.82,,,"55F, 6:50 to turn. cloudy"
2018-11-12,,,,1462,,,,,56F. 4:30pm dry (dark by 5!). Upper reservoir and more.
2018-11-10,,,,1309,,,157,,"42F, 9:00am, 16th/45th/17th/20th/65th/12th"
2018-11-08,,,,1332,,,156,,"45F, 5:00pm.  Up to 70th and across I5, back up on 75th."
2018-11-05,,,,1187,,,,,"54F, ptly cldy, 50th st bridge protest etc."
2018-11-03,,143114,Reservoir Basic,990,3.40,4.85,,,"64F, cloudy, took it easy. 7:16 to sign"
2018-11-01,,143114,Reservoir Basic,965,3.40,4.73,157,,"62F, 5:00PM cloudy. 6:43 to sign. work stress."
2018-10-29,,143116,Greenlake 3k,1067,3.90,4.56,158,,"56, cloudy, 4:20pm"
2018-10-27,,143114,Reservoir Basic,978,3.40,4.79,,,"43F, foggy, still headcold"
2018-10-23,,653902,45th to 65th loop,863,3.08,4.67,159,,"55, cloudy, 4:00PM"
2018-10-21,,143116,Greenlake 3k,1123,3.90,4.80,159,,"Head cold!  47F, cloudy/foggy"
2018-10-14,,566398,Dawg Dash Oct16,1535,5.21,4.91,158,,"50F, Sunny, Started WAY too strong.  Died in 1st 5 min.  Better later. "
2018-10-11,,143114,Reservoir Basic,965,3.40,4.73,158,,"59, sunny, 4:30PM"
2018-10-08,,,,1882,,,,,No-lights extended.  Endurance training.  4:40pm rain
2018-10-06,,,,2209,,,,,Malibu Crk St. Pk. Endurance Training.  MASH site!  70F. Cloudy
2018-10-03,,562270,no lights local loop,1018,3.61,4.71,,,"53F, cloudy, 4:20pm, strong late effort."
2018-10-01,,143114,Reservoir Basic,950,3.40,4.65,,,60F. light rain. 4:00PM
2018-09-29,,143118,Reservoir 5k,1461,4.98,4.89,155,,"50F, ptly cldy, training mode."
2018-09-21,,562270,no lights local loop,1028,3.61,4.75,159,,"69F, cloudy. 4:30PM"
2018-09-18,,242812,Greenlake out-and-back 5k,1383,4.90,4.70,,,"62F, sunny, 4:30pm"
2018-09-16,,143118,Reservoir 5k,1536,4.98,5.14,,,"56F, drizzle, consolidation (https://www.nytimes.com/2018/09/14/sports/eliud-kipchoge-marathon.html)"
2018-09-14,,143114,Reservoir Basic,946,3.40,4.64,,,"65F. ptly cldy, 4:20pm"
2018-09-11,,562270,no lights local loop,1007,3.61,4.65,,,"72F, 4:00pm, low mo but good push. 6:44 to turn."
2018-09-09,,143114,Reservoir Basic,971,3.40,4.76,,,64F
2018-09-06,,242812,Greenlake out-and-back 5k,1399,4.90,4.76,,,"84F, hazy, took it easy?"
2018-09-03,,234220,Upper Reservoir Park,1298,4.62,4.69,,,"57F, Sunny"
2018-09-01,,562270,no lights local loop,1053,3.61,4.87,,,"59F, cloudy, consolidation"
2018-08-30,,143116,Greenlake 3k,1055,3.90,4.51,158,,"72F, ptly cldy, strong push."
2018-08-23,,143114,Reservoir Basic,936,3.40,4.59,,,75F. smoke clearing a bit.  4:30PM
2018-08-20,,143116,Greenlake 3k,1128,3.90,4.82,155,,56F. took it easy consolidation
2018-08-18,,562270,no lights local loop,1017,3.61,4.70,,,PR! 60F. Sunny. Consolidation ++
2018-08-16,,242812,Greenlake out-and-back 5k,1385,4.90,4.71,,,"59F, smokey"
2018-08-14,,653902,45th to 65th loop,877,3.08,4.74,159,,"58F, smokey, good effort."
2018-08-09,,143116,Greenlake 3k,1097,3.90,4.69,,,63F.OK push. sunrise
2018-08-07,,562270,no lights local loop,1028,3.61,4.75,155,,"58F, Sunny"
2018-08-04,,143116,Greenlake 3k,1074,3.90,4.59,,,"58F, cloudy"
2018-08-02,,,,,,,,,Bike to GIX (550 bus back)
2018-07-31,,143114,Reservoir Basic,969,3.40,4.75,,,"61F, cloudy"
2018-07-29,,,,981,3.37,4.85,,,Oberlin bike trail loop. 75F
2018-07-27,,,,1141,,,,,"Oberlin,70F
"
2018-07-24,,653902,45th to 65th loop,892,3.08,4.82,156,,"60F, gave back a rest for a few days."
2018-07-19,,143114,Reservoir Basic,984,3.40,4.82,156,,"58F, cloudy, tired from 1st GIX bike commute!"
2018-07-17,,653902,45th to 65th loop,958,3.08,5.18,155,,"65F, sunny. took it slow, back pain."
2018-07-14,,143116,Greenlake 3k,1112,3.90,4.75,154,,"61F, Consolidation, twitchy back."
2018-07-11,,143114,Reservoir Basic,934,3.40,4.58,157,,"PR!, 61F, Sunny, 6:50 to sign."
2018-07-09,,143114,Reservoir Basic,979,3.40,4.80,158,,"60F, sunny"
2018-07-07,,143116,Greenlake 3k,1077,3.90,4.60,161,,"70F, cloudy.Back from trip"
2018-07-05,,,,1184,,,,,Copenhagen
2018-07-03,,,,1244,,,,,"Siracusa, Ortiga"
2018-07-01,,,,1054,,,,,"Ragusa
"
2018-06-29,,,,1139,,,,,"Fiume Tevere
"
2018-06-28,,,,1205,,,,,"San Vito Lo Capo
"
2018-06-26,,,,965,,,,,"San Vito Lo Capo, Sicily"
2018-06-22,,,,1104,,,,,Fiume Tevere Banks (Rome)
2018-06-19,,358344,Rihely Pl / Encinitas,1015,3.41,4.96,,,
2018-06-17,,358344,Rihely Pl / Encinitas,972,3.41,4.75,,,
2018-06-14,,143114,Reservoir Basic,975,3.40,4.78,,,"52F, cloudy wet. low caf?"
2018-06-12,,562270,no lights local loop,1036,3.61,4.79,157,,"55F.  Sunny, 7:00 to turn."
2018-06-10,,242812,Greenlake out-and-back 5k,1387,4.90,4.72,,,"55F, sunny, consolidation"
2018-06-08,,143116,Greenlake 3k,1050,3.90,4.49,,,"PR!. 58F,cludy.  3:33 to 65th; 3 lights."
2018-06-06,,143114,Reservoir Basic,956,3.40,4.68,,,"60F, sunny"
2018-06-04,,653902,45th to 65th loop,880,3.08,4.76,,,"51F, cloudy, low mo."
2018-06-02,,562270,no lights local loop,1034,3.61,4.78,157,,"63F, sunny. Good effort. 7:01 to turn. "
2018-05-31,,143116,Greenlake 3k,1092,3.90,4.67,,,52F. cloudy. fast start 3:42 to 65th.
2018-05-29,,143114,Reservoir Basic,970,3.40,4.75,157,,"53F, cloudy. Fast start, 7:06 to sign. "
2018-05-27,,242812,Greenlake out-and-back 5k,1413,4.90,4.80,157,,jet lagged from Brisbane. 60F sunny.
2018-05-25,,,,1057,,,,,Brisbane River loop
2018-05-23,,,,1090,,,,,"Brisbane River loop
"
2018-05-18,,,,1999,,,,,Brisbane river/ w.Andy Lewis
2018-05-16,,,,1081,,,,,Brisbane riverfront.
2018-05-12,,143116,Greenlake 3k,1116,3.90,4.77,156,,"60F, sunny, consolidation"
2018-05-10,,143114,Reservoir Basic,964,3.40,4.72,155,,"53F cloudy, 7:02 to sign"
2018-05-08,,653902,45th to 65th loop,900,3.08,4.87,155,,"57F, sunny, partying, slight stiffness."
2018-05-06,,242812,Greenlake out-and-back 5k,1379,4.90,4.69,155,,"64F, partly sunny. strong start. 3 lights."
2018-05-04,,562270,no lights local loop,1048,3.61,4.84,,,"53F, low mo. low Caff?, big bkfst"
2018-05-02,,143114,Reservoir Basic,978,3.40,4.79,154,,"47F, sunny
"
2018-04-30,,143116,Greenlake 3k,1103,3.90,4.71,155,,"48F, cloudy.  low mo."
2018-04-28,,653902,45th to 65th loop,906,3.08,4.90,155,,"48F, rainy"
2018-04-26,,143114,Reservoir Basic,970,3.40,4.75,156,,"60F, sunny, good vd02"
2018-04-24,,143116,Greenlake 3k,1122,3.90,4.79,,,Back from final (Right eye) surg.  Nice weather.
2018-04-08,,143114,Reservoir Basic,1005,3.40,4.92,,,"46F, wet. felt strong"
2018-04-06,,653902,45th to 65th loop,879,3.08,4.75,155,,"51F, normal"
2018-04-04,,143116,Greenlake 3k,1123,3.90,4.80,155,,"41F, BACK after TWO WEEKS for left eye surg."
2018-03-19,,562270,no lights local loop,1069,3.61,4.94,154,,"40F, nice. so-so"
2018-03-17,,502559,StPatricksDayDash,1463,4.93,4.95,155,,"37F, cloudy, dry.  Too strong start?   Bladder at end!!"
2018-03-15,,143117,Greenlake 5k,1410,5.01,4.69,,,"32F, Sunny."
2018-03-12,,143117,Greenlake 5k,1420,5.01,4.72,,,"43F, sunny, very strong start. Too strong? 3:47 to 65th"
2018-03-10,,234220,Upper Reservoir Park,1313,4.62,4.74,,,"42F, sunny, low caf? big bkfst"
2018-03-08,,242812,Greenlake out-and-back 5k,1456,4.90,4.95,153,,"42F, wet. Consolidation"
2018-03-06,,143118,Reservoir 5k,1427,4.98,4.77,153,,"PR! 50F, sunny"
2018-03-03,,143118,Reservoir 5k,1429,4.98,4.78,153,,"PR!  45F, beautiful, sunny. A bit hung over!"
2018-02-28,,143117,Greenlake 5k,1433,5.01,4.77,152,,40F cloudy.  good push
2018-02-26,,143114,Reservoir Basic,968,3.40,4.74,150,,37F. some black ice. Sunny
2018-02-24,,143116,Greenlake 3k,1097,3.90,4.69,150,,"35F, wet.  5-day break: sickness & snow."
2018-02-18,,653902,45th to 65th loop,878,3.08,4.75,,,37F. cloudy. just gettin it done. 
2018-02-16,,143114,Reservoir Basic,971,3.40,4.76,155,,42F. Cloudy.  Big eggs bkfst.
2018-02-14,,562270,no lights local loop,1054,3.61,4.87,156,,38F. damp. good caff.
2018-02-11,,143116,Greenlake 3k,1238,3.90,5.29,,,"consolidation, took it slow.  35F dry."
2018-02-09,,562270,no lights local loop,1043,3.61,4.82,,,"42F, cloudy"
2018-02-07,,143116,Greenlake 3k,1090,3.90,4.66,153,,48F
2018-02-05,,143114,Reservoir Basic,957,3.40,4.69,154,,"46F, cloudy"
2018-02-03,,242812,Greenlake out-and-back 5k,1400,4.90,4.76,,,50F. cloudy. big bkfst.
2018-02-01,,653902,45th to 65th loop,871,3.08,4.71,156,,"44F, cloudy"
2018-01-30,,562270,no lights local loop,1050,3.61,4.85,,,"43F, cloudy, solid"
2018-01-28,,143114,Reservoir Basic,945,3.40,4.63,,,48F. good push. PR!
2018-01-25,,143116,Greenlake 3k,1081,3.90,4.62,153,,"42F, cloudy, decent push."
2018-01-23,,653902,45th to 65th loop,947,3.08,5.12,153,,"41F, took it easy, felt smooth."
2018-01-20,,234220,Upper Reservoir Park,1287,4.62,4.65,155,,"42F, routine"
2018-01-18,,143114,Reservoir Basic,963,3.40,4.72,155,,"43F, strong.  Almost hit by car @63rd!"
2018-01-16,,653902,45th to 65th loop,877,3.08,4.74,154,,48F.
2018-01-14,,242812,Greenlake out-and-back 5k,1410,4.90,4.79,,,"40F, sunny"
2018-01-12,,143114,Reservoir Basic,949,3.40,4.65,,,"52F, strong, 6:54 to sign."
2018-01-09,,653902,45th to 65th loop,875,3.08,4.73,155,,45F
2018-01-07,,143116,Greenlake 3k,1084,3.90,4.63,155,,"45F, good vd02"
2018-01-05,,562270,no lights local loop,1039,3.61,4.80,155,,"45F, strong"
2018-01-03,,143114,Reservoir Basic,1000,3.40,4.90,153,,"31F, sunny. low sleep."
2018-01-01,,143116,Greenlake 3k,1115,3.90,4.76,,,"40F, clear, lo-mo, late rise!"
2017-12-29,,653902,45th to 65th loop,885,3.08,4.79,,,"44F, rain"
2017-12-27,,242812,Greenlake out-and-back 5k,1401,4.90,4.76,155,,"38F, snow almost gone. "
2017-12-24,,653902,45th to 65th loop,898,3.08,4.86,,,33F dry
2017-12-22,,143116,Greenlake 3k,1088,3.90,4.65,153,,42F
2017-12-20,,562270,no lights local loop,1036,3.61,4.79,154,,"44F, strong start. 7:00 to turn."
2017-12-17,,143114,Reservoir Basic,958,3.40,4.69,,,44F. 
2017-12-15,,143114,Reservoir Basic,,3.40,,153,,"43F, good start, missed watch button - no time. "
2017-12-12,,653902,45th to 65th loop,868,3.08,4.69,153,,50F. low caf.
